number,team1,team2,acquisition1,acquisition2,date
113,Jordan,Pasha,acquired M.Rantanen and J.Eriksson-Ek,acquired B.Bishop and 2018 5th Round Pick,12/7/2017
114,Pasha,Sasha,"acquired A.Radulov, 2019 4th Round Pick, and 2020 4th Round Pick","acquired T.Johnson, S.Varlamov, and S.Hartnell",12/8/2017
115,Nima,Tobi,acquired N.Bjugstad,acquired J.Williams,2/3/2018
116,Nima,Sasha,"acquired V.Dunn, 2019 5th Round Pick, and 2019 6th Round Pick",acquired 2018 4th Round Pick; sent to Alex to complete JT Miller deal,2/3/2018
117,Alex,(3-Way),acquired 2018 4th Round Pick from Sasha,-,
118,Tobi,Sasha,acquired B.Little,acquired 2019 5th Round Pick,2/3/2018
119,Tobi,Alex,acquired A.Wennberg and 2019 7th Round Pick,acquired O.Maatta and 2018 3rd Round Pick,2/3/2018
120,Sasha,Jon,acquired S.Vatanen,acquired Zacha and 2020 3rd Round Conditional Pick (Zacha must score a minimum of 50 points in a single season by the end of 2020 season or the pick becomes 2020 2nd Round Pick),2/3/2018
121,Jon,Tobi,acquired J.Armia,acquired P.Hornqvist,2/3/2018
122,Tobi,Alex,"acquired D.Heinen, K.Okposo, 2018 7th Round Pick",acquired Y.Gourde and 2019 4th Round Pick,2/3/2018
123,Pasha,Jordan,"acquired B.Saad, N.Niederreiter, and F.Chytil","acquired P.Buchnevich, O.Kase, and 2018 3rd Round Pick",7/6/2018
124,Pasha,Sasha,acquired V.Namestnikov ,acquired 2018 5th Round Pick (Orginally Tobi's),7/26/2018
125,Sasha,Nima,acquired 2019 6th Round Pick,acquired D.Phaneuf,7/26/2018
126,Nima,Pasha,"acquired L.Couture, M.Sergachev, W.Butcher, N.Schmaltz, T.Thompson, and 2018 3rd Round Pick (Orginally Sasha's)",acquired 2018 1st Round Pick (1st Overall),8/7/2018
127,Sarah,Jordan,acquired A.Lee and D.Stepan,acquired Conditional 2019 3rd Round Pick (turns to a 2019 2nd Round Pick if Lee scores 30+ in the 2018-2019 season) and 2020 3rd Round Pick,8/12/2018
128,Pasha,Jordan,"acquired C.McAvoy, M.Tkachuk, T.Chabot, 2018 1st Round Pick (8th Overall)","acquired 2018 1st Round Pick (1st Overall), 2018 5th Round Pick and 2019 5th Round Pick",8/18/2018
129,Nima,Pasha,acquired T.J Brodie,acquired 2019 5th Round Pick,8/18/2018
